Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gas natural,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,"Mezclas
oleosas",Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsión,Total
2000-01-01,0.0,48446.0,296766.99,0.0,0.0,0.0,0.0,194410.47619047618,,1426.0,202645.2,308156.82,0.0,64026.09,0.0,0.0,0.0,0.0,0.0,0.0,634667.06,0,1750544.6361904764
2000-02-01,0.0,50597.0,328116.44,0.0,0.0,0.0,0.0,174710.55238095237,,1458.0,205530.96,307766.31,0.0,62660.3,0.0,0.0,0.0,0.0,0.0,0.0,642380.66,0,1773220.2223809524
2000-03-01,0.0,27593.0,368589.63,0.0,0.0,0.0,0.0,189234.06666666668,,1503.0,229499.56,331910.29,0.0,61361.99,0.0,0.0,0.0,0.0,0.0,0.0,699807.25,0,1909498.7866666666
2000-04-01,0.0,53794.0,396300.47,0.0,0.0,0.0,0.0,174330.60714285713,,1561.0,210680.4,315648.08,0.0,61814.32,0.0,0.0,0.0,0.0,0.0,0.0,586803.98,0,1800932.857142857
2000-05-01,0.0,60137.0,449368.92,0.0,0.0,0.0,0.0,191745.14761904764,,1642.0,208164.34,319667.97,0.0,54098.32,0.0,0.0,0.0,0.0,0.0,0.0,656948.2,0,1941771.8976190477
2000-06-01,0.0,40623.0,404033.69,0.0,0.0,0.0,0.0,196321.93333333335,,1641.0,195088.74,300347.7,0.0,60390.32,0.0,0.0,0.0,0.0,0.0,0.0,570919.88,0,1769366.2633333332
2000-07-01,0.0,36670.0,291436.2,0.0,0.0,0.0,0.0,192344.50238095238,,1598.0,204556.77,308305.93,0.0,61931.56,0.0,0.0,0.0,0.0,0.0,0.0,576436.02,0,1673278.9823809525
2000-08-01,0.0,25033.0,373811.63,0.0,0.0,0.0,0.0,203727.08095238093,,1438.0,218388.51,323011.86,0.0,70821.94,0.0,0.0,0.0,0.0,0.0,0.0,593770.77,0,1810002.7909523812
2000-09-01,0.0,16906.0,322718.89,0.0,0.0,0.0,0.0,194565.09761904762,,1469.0,213906.96,326455.72,0.0,58960.01,0.0,0.0,0.0,0.0,0.0,0.0,590145.4,0,1725127.0776190476
2000-10-01,0.0,22070.0,260955.42,0.0,0.0,0.0,0.0,210261.82619047622,,1475.0,213606.65,323843.63,0.0,63794.12,0.0,0.0,0.0,0.0,0.0,0.0,641113.36,0,1737120.0061904762
2000-11-01,0.0,25659.0,310274.26,0.0,0.0,0.0,0.0,205027.95261904763,,1498.0,209227.48,320788.08,0.0,65733.0,0.0,0.0,0.0,0.0,0.0,0.0,657086.3,0,1795294.0726190477
2000-12-01,0.0,20430.0,284045.83,0.0,0.0,0.0,0.0,200247.555,,1501.0,230020.7,366987.56,0.0,68848.5,0.0,0.0,0.0,0.0,0.0,0.0,673282.26,0,1845363.405
2001-01-01,0.0,30002.214999999997,399107.63301587204,0.0,0.0,0.0,0.0,179405.99027777778,,1755.5833333333333,164547.3516666666,300242.7816666665,0.0,69691.25083333332,0.0,0.0,0.0,0.0,0.0,0.0,569328.7870238096,0,1714081.592817459
2001-02-01,0.0,34407.564999999995,404897.0034920625,0.0,0.0,0.0,0.0,167818.1378968254,,1510.5833333333333,174838.8116666666,301483.401666666,0.0,56326.42083333332,0.0,0.0,0.0,0.0,0.0,0.0,597749.8317857146,0,1739031.7556746015
2001-03-01,0.0,32274.674999999996,406269.2753968244,0.0,0.0,0.0,0.0,186397.3259920635,,1602.5833333333333,201992.6516666666,355572.831666666,0.0,68208.99083333332,0.0,0.0,0.0,0.0,0.0,0.0,736085.9732142859,0,1988404.307103173
2001-04-01,0.0,26986.954999999994,397689.2196825387,0.0,0.0,0.0,0.0,175820.34503968255,,1355.5833333333333,198683.3916666666,355826.761666666,0.0,66697.90083333332,0.0,0.0,0.0,0.0,0.0,0.0,606257.6589285719,0,1829317.8161507924
2001-05-01,0.0,29776.714999999997,494837.72825396725,0.0,0.0,0.0,0.0,178303.33075396824,,1273.5833333333333,182504.09166666662,336040.041666666,0.0,61641.630833333315,0.0,0.0,0.0,0.0,0.0,0.0,664082.6575,0,1948459.7790079347
2001-06-01,0.0,26759.214999999997,385382.01634920534,0.0,0.0,0.0,0.0,177826.92837301586,,1171.5833333333333,201379.4816666666,308804.7016666665,0.0,57796.09083333332,0.0,0.0,0.0,0.0,0.0,0.0,559333.0336904764,0,1718453.0509126973
2001-07-01,0.0,24312.284999999993,482085.373968253,0.0,0.0,0.0,0.0,191041.99027777778,,1637.5833333333333,214980.2416666666,350501.971666667,0.0,67033.45083333332,0.0,0.0,0.0,0.0,0.0,0.0,589452.7346428575,0,1921045.6313888885
2001-08-01,0.0,25225.994999999995,470955.27396825294,0.0,0.0,0.0,0.0,190295.99027777778,,1412.5833333333333,204646.771666667,348414.6516666665,0.0,64093.29083333332,0.0,0.0,0.0,0.0,0.0,0.0,568546.3746428574,0,1873590.931388888
2001-09-01,0.0,20603.094999999994,387235.78396825294,0.0,0.0,0.0,0.0,184039.99027777778,,1710.5833333333333,188292.3516666666,324393.9616666665,0.0,51773.04083333332,0.0,0.0,0.0,0.0,0.0,0.0,533108.3946428574,0,1691157.2013888876
2001-10-01,0.0,29817.094999999994,412617.563968253,0.0,0.0,0.0,0.0,206176.99027777778,,1102.5833333333333,225240.9516666666,366261.631666666,0.0,56193.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,603371.1846428574,0,1900781.3113888875
2001-11-01,0.0,22299.094999999994,606966.563968253,0.0,0.0,0.0,0.0,201335.99027777778,,1791.5833333333333,210324.9516666666,351890.631666666,0.0,53500.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,626156.1846428574,0,2074265.3113888875
2001-12-01,0.0,19283.094999999994,402835.563968253,0.0,0.0,0.0,0.0,209792.99027777778,,979.5833333333333,223209.9516666666,403561.631666666,0.0,60508.31083333332,0.0,0.0,0.0,0.0,0.0,0.0,664190.1846428574,0,1984361.3113888875
2002-01-01,0.0,16971.656666666662,512580.54666666675,0.0,0.0,0.0,0.0,196068.60873015874,,1722.916666666667,200309.85166666665,368935.52583333326,0.0,51969.76749999998,0.0,0.0,0.0,37593.978333333376,0.0,0.0,726672.5991666663,0,2112825.451230158
2002-02-01,0.0,22834.536666666663,506069.6266666667,0.0,0.0,0.0,0.0,180209.8015873016,,923.916666666667,183119.34166666665,348917.78583333327,0.0,42796.91749999998,0.0,0.0,0.0,85710.74833333338,0.0,0.0,694344.7791666662,0,2064927.4540873012
2002-03-01,0.0,22891.186666666665,446878.0666666667,0.0,0.0,0.0,0.0,186680.96587301587,,1082.916666666667,212711.71166666664,385044.96583333326,0.0,53352.85749999998,0.0,0.0,0.0,64873.728333333376,0.0,0.0,656379.2891666662,0,2029895.6883730153
2002-04-01,0.0,35584.53666666667,450736.2566666667,0.0,0.0,0.0,0.0,196167.1611111111,,1295.916666666667,204765.62166666664,379741.9758333333,0.0,51056.137499999975,0.0,0.0,0.0,40923.468333333374,0.0,0.0,683646.1691666662,0,2043917.2436111106
2002-05-01,0.0,27945.586666666662,539547.9066666667,0.0,0.0,0.0,0.0,201612.35634920635,,1671.916666666667,201083.51166666663,375054.63583333325,0.0,52716.54749999998,0.0,0.0,0.0,62407.66833333337,0.0,0.0,707165.4691666663,0,2169205.5988492058
2002-06-01,0.0,20228.036666666663,456986.2666666667,0.0,0.0,0.0,0.0,193024.39920634922,,638.916666666667,187629.42166666663,371138.58583333326,0.0,50501.347499999974,0.0,0.0,0.0,22963.618333333376,0.0,0.0,667820.7091666663,0,1970931.3017063485
2002-07-01,0.0,14042.266666666663,492323.43666666665,0.0,0.0,0.0,0.0,204196.24444444446,,2062.916666666667,201692.64166666663,399944.64583333326,0.0,55179.817499999976,0.0,0.0,0.0,48749.898333333374,0.0,0.0,656761.5991666663,0,2074953.4669444438
2002-08-01,0.0,13715.916666666662,429935.5066666667,0.0,0.0,0.0,0.0,213625.43253968254,,1825.916666666667,205240.77166666664,392355.6158333333,0.0,51119.78749999998,0.0,0.0,0.0,13351.578333333375,0.0,0.0,657099.7391666662,0,1978270.2650396822
2002-09-01,0.0,13512.866666666663,381600.3366666667,0.0,0.0,0.0,0.0,209849.7587301588,,1416.916666666667,177614.80166666664,347191.43583333323,0.0,46923.96749999998,0.0,0.0,0.0,49713.578333333375,0.0,0.0,653664.5991666663,0,1881488.2612301582
2002-10-01,0.0,10066.266666666663,320349.2066666667,0.0,0.0,0.0,0.0,212932.32777777783,,1834.916666666667,203097.24166666664,381595.19583333324,0.0,61834.37749999998,0.0,0.0,0.0,40876.578333333375,0.0,0.0,653053.2691666662,0,1885639.3802777776
2002-11-01,0.0,16772.076666666664,438764.8966666667,0.0,0.0,0.0,0.0,210000.54682539683,,1552.916666666667,207629.81166666665,384334.21583333326,0.0,50783.19749999998,0.0,0.0,0.0,43455.578333333375,0.0,0.0,671401.3291666663,0,2024694.5693253963
2002-12-01,0.0,13946.066666666664,490960.94666666666,0.0,0.0,0.0,0.0,223830.39682539683,,1397.916666666667,199619.27166666664,400645.4158333333,0.0,55123.277499999975,0.0,0.0,0.0,52341.578333333375,0.0,0.0,676192.4491666663,0,2114057.3193253963
2003-01-01,0.0,19127.77,459765.4,0.0,0.0,0.0,0.0,213268.97857142857,,2009.0,193713.62,376516.58,0.0,55260.55,0.0,0.0,0.0,23392.0,0.0,0.0,769843.3,0,2112897.1985714287
